feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__CCM2,100,50,1.0,0.03999999910593033,0.28,0.19,True,1.0
METH__SSH3,100,50,1.0,0.009999999776482582,-0.08,0.19,True,1.0
TPM__SULT1A1,100,50,1.0,0.23000000417232513,-0.41,0.2,True,1.0
METH__FGFR1OP,99,49,0.99,0.029999999329447746,-0.07,0.19,True,1.0
METH__MIR2277,97,47,0.97,0.009999999776482582,-0.15,0.19,True,0.992
METH__DNAJB1,96,46,0.96,0.009999999776482582,0.16,0.19,True,0.832
CNV__HIF1A,95,45,0.95,0.019999999552965164,0.2,0.21,True,0.458
CNV__SIX1,94,44,0.94,0.019999999552965164,0.2,0.22,True,0.181
CNV__RAD51B,91,41,0.91,0.009999999776482582,0.19,0.2,False,0.002
CNV__FANCM,91,41,0.91,0.009999999776482582,0.18,0.19,False,0.002
CNV__KTN1,90,40,0.9,0.009999999776482582,0.19,0.22,False,0.0
CNV__MAX,90,40,0.9,0.009999999776482582,0.19,0.21,False,0.0
CNV__ARHGAP5,87,37,0.87,0.019999999552965164,0.19,0.2,False,0.0
CNV__NKX2-1,86,36,0.86,0.0,0.19,0.2,False,0.0
CNV__MYH11,86,36,0.86,0.0,-0.02,0.2,False,0.0
CNV__FOXA1,86,36,0.86,0.009999999776482582,0.19,0.2,False,0.0
TPM__ATP5F1EP2,85,35,0.85,0.009999999776482582,0.11,0.22,False,0.0
CNV__NIN,85,35,0.85,0.009999999776482582,0.18,0.19,False,0.0
METH__AHI1,85,35,0.85,0.009999999776482582,-0.15,0.2,False,0.0
CNV__ZFP36L1,84,34,0.84,0.019999999552965164,0.19,0.19,False,0.0
CNV__NFKBIA,83,33,0.83,0.0,0.19,0.2,False,0.0
METH__C6orf217,81,32,0.81,0.009999999776482582,-0.15,0.19,False,0.0
CNV__GPHN,81,32,0.81,0.009999999776482582,0.18,0.21,False,0.0
METH__RAB1A,78,28,0.78,0.0,0.04,0.21,False,0.0
TPM__MIR1307,75,27,0.75,0.0,0.01,0.18,False,0.0
METH__TBCCD1,74,25,0.74,0.009999999776482582,0.11,0.2,False,0.0
METH__PRMT7,73,24,0.73,0.009999999776482582,0.11,0.23,False,0.0
CNV__AJUBA,71,23,0.71,0.019999999552965164,0.19,0.22,False,0.0
TPM__RNA5SP187,71,23,0.71,0.009999999776482582,-0.1,0.18,False,0.0
METH__THAP5,70,20,0.7,0.009999999776482582,0.1,0.19,False,0.0
CNV__TAL2,69,23,0.69,0.009999999776482582,0.16,0.18,False,0.0
METH__USP12,68,18,0.68,0.009999999776482582,0.13,0.19,False,0.0
CNV__JAK1,65,17,0.65,0.0,0.04,0.19,False,0.0
METH__FXR1,65,17,0.65,0.009999999776482582,0.13,0.18,False,0.0
METH__LMBRD2,64,18,0.64,0.0,0.07,0.19,False,0.0
CNV__U2AF2,64,17,0.64,0.0,0.05,0.18,False,0.0
CNV__ERCC1,60,20,0.6,0.0,0.02,0.21,False,0.0
METH__AP2M1,60,17,0.6,0.009999999776482582,0.06,0.21,False,0.0
CNV__HERC2,60,17,0.6,0.0,0.01,0.18,False,0.0
CNV__BCL3,59,14,0.59,0.0,0.02,0.19,False,0.0
METH__SS18,54,14,0.54,0.0,-0.06,0.19,False,0.0
CNV__KNL1,54,11,0.54,0.0,-0.01,0.18,False,0.0
CNV__CBLC,53,14,0.53,0.0,0.02,0.19,False,0.0
METH__WRNIP1,52,10,0.52,0.0,-0.09,0.18,False,0.0
CNV__ENPEP,52,11,0.52,0.009999999776482582,-0.03,0.18,False,0.0
METH__SNW1,52,9,0.52,0.0,0.09,0.2,False,0.002
TPM__TMSB4XP1,51,11,0.51,0.0,0.02,0.21,False,0.0
CNV__NUTM1,51,11,0.51,0.0,-0.01,0.19,False,0.0
METH__SLC7A6OS,51,13,0.51,0.009999999776482582,0.11,0.21,False,0.0
CNV__ERCC2,51,13,0.51,0.0,0.02,0.2,False,0.0
TPM__SNORA16B,50,6,0.5,0.009999999776482582,-0.12,0.18,True,0.181
METH__QRICH2,50,7,0.5,0.009999999776482582,0.06,0.21,True,0.053
CNV__FLI1,49,11,0.49,0.009999999776482582,0.11,0.18,False,0.0
METH__TMEM30A,49,11,0.49,0.0,0.05,0.21,False,0.0
METH__ABCD3,48,12,0.48,0.009999999776482582,-0.03,0.19,False,0.0
METH__CCDC66,48,10,0.48,0.0,-0.07,0.19,False,0.0
METH__C14orf178,47,8,0.47,0.0,0.09,0.2,False,0.013
METH__NUSAP1,46,6,0.46,0.009999999776482582,0.1,0.18,True,0.181
TPM__SNORA71A,46,9,0.46,0.0,-0.01,0.18,False,0.002
CNV__MUTYH,44,9,0.44,0.0,0.06,0.19,False,0.002
CNV__APOBEC3B,44,9,0.44,0.0,0.01,0.18,False,0.002
METH__FBXL17,43,9,0.43,0.0,-0.0,0.19,False,0.002
CNV__DIS3,43,6,0.43,0.0,0.0,0.18,True,0.181
CNV__ZNF331,43,7,0.43,0.0,0.05,0.19,True,0.053
CNV__PDGFB,42,12,0.42,0.0,0.03,0.18,False,0.0
METH__HARBI1,41,5,0.41,0.0,0.05,0.19,True,0.458
MUT__HLA-A,41,4,0.41,0.0,-0.07,0.21,True,0.832
METH__TMEM49,40,3,0.4,0.009999999776482582,-0.08,0.2,True,0.992
CNV__PPP2R1A,40,8,0.4,0.0,0.04,0.21,False,0.013
TPM__RNA5SP323,40,5,0.4,0.0,-0.07,0.18,True,0.458
TPM__SNORA29,39,7,0.39,0.0,0.01,0.19,True,0.053
METH__FAM21A,39,4,0.39,0.0,0.06,0.18,True,0.832
METH__PPAPDC1B,38,4,0.38,0.0,-0.03,0.18,True,0.832
CNV__CBLB,37,6,0.37,0.0,0.1,0.21,True,0.181
METH__SH3BP5L,37,2,0.37,0.009999999776482582,0.1,0.2,True,1.0
METH__FAM149B1,37,5,0.37,0.0,-0.05,0.19,True,0.458
CNV__DNMT3A,37,5,0.37,0.0,0.08,0.19,True,0.458
CNV__JUN,37,6,0.37,0.0,0.04,0.19,True,0.181
CNV__WDCP,37,5,0.37,0.0,0.08,0.19,True,0.458
METH__PPP5C,36,3,0.36,0.0,0.02,0.18,True,0.992
CNV__INO80,36,3,0.36,0.0,-0.01,0.18,True,0.992
CNV__LMO2,36,6,0.36,0.009999999776482582,0.12,0.18,True,0.181
METH__SLTM,36,7,0.36,0.0,-0.01,0.18,True,0.053
CNV__ACKR3,35,5,0.35,0.0,0.07,0.19,True,0.458
METH__ADO,35,2,0.35,0.009999999776482582,0.12,0.19,True,1.0
CNV__POLE,34,4,0.34,0.009999999776482582,0.09,0.19,True,0.832
METH__TRIM52,34,5,0.34,0.0,0.03,0.19,True,0.458
CNV__KLF5,34,1,0.34,0.0,-0.0,0.18,True,1.0
CNV__CSF3R,33,6,0.33,0.0,0.06,0.19,True,0.181
CNV__STIL,33,4,0.33,0.0,0.05,0.19,True,0.832
CNV__ALK,33,4,0.33,0.0,0.07,0.21,True,0.832
CNV__SFPQ,32,4,0.32,0.0,0.05,0.19,True,0.832
METH__KHDRBS1,32,1,0.32,0.0,0.09,0.19,True,1.0
MUT__BRAF,31,2,0.31,0.009999999776482582,0.12,0.25,True,1.0
TPM__SNORA20,31,4,0.31,0.0,-0.03,0.17,True,0.832
CNV__NCOA1,30,5,0.3,0.0,0.08,0.19,True,0.458
